Complete	Category	Game object	Event name	Trigger	Condition/Variant	Context	SFX desc	Variations	Loop	Stop event	VFX/Anim	UI response	Music	Code hook	Signal	Status	Priority	Notes
TRUE	Equipment	Hero Gladiator	equipment_broke_armor	An equipped armor piece's durability runs out and it is destroyed	broken(slot, item_def) for an ArmorDef	The helmet gives way. From the very next hit the fighter is taking full damage again, and the hit sounds revert from metal to flesh. The player needs to hear this to know their protection is gone.	Crumpling metal collapse; heavy, final	2	FALSE		Existing: EquipmentRigSync clears helmet_equipped	—	Optional stinger	items/equipment/equipment_component.gd:_wear	EquipmentComponent.broken / GlobalSignalBus.unit_equipment_broke	implemented	P0	If it was the last armor piece, subsequent hits switch to gladiator_hit_unarmored.
TRUE	Equipment	Hero Gladiator	equipment_rig_changed	The gladiator's visible gear is synced to the equipment state	Any changed(slot) with a rig property mapped for that slot	The purely visual half of equipping and breaking - the sword or helmet appearing or disappearing on the fighter's body. Included so the visual sync is catalogued alongside its audio, not because it needs its own sound.	None; the equip and break rows own the audio	0	FALSE		Existing: sets sword_equipped / helmet_equipped on the GladiatorBones rig	—		items/equipment/equipment_rig_sync.gd:_on_changed	EquipmentComponent.changed	implemented	P2	Only HEAD and RIGHT_HAND are mapped in SLOT_PROPERTIES; other slots sync nothing.
TRUE	Equipment	Item	equipment_reject_invalid_target	The player drops equipment on a gladiator that cannot wear it	can_use_on returns false - the enemy has no EquipmentComponent	The player tried to put a helmet on the enemy. Nothing happens, the item stays in the pile, and right now they get no explanation at all - it just looks broken. A small reject cue turns a bug-feeling moment into a rule.	Short dull reject thunk	1	FALSE		Existing: the drop-zone outline never lit, so there was no promise to break	No outline highlight while hovering		items/item.gd:can_use_on	GlobalSignalBus.item_drop_rejected(item, unit)	implemented	P1	The absent hover outline is already the negative feedback; decide whether a sound on release adds clarity or just noise.
TRUE	Items	Item	item_spawned_thrown	A spawner lobs a new item into the arena	Every spawn_interval (plus jitter) while spawning is enabled	Items are thrown in from the sides on a constant timer - this is where the whole item economy comes from. It happens roughly once a second all match, so it must be light enough to live in the background.	Short whoosh of something thrown in from offscreen	3	FALSE		Existing: item launches on an arc with random spin	—		items/item_spawner.gd:_spawn_one	GlobalSignalBus.item_spawned(item_def)	implemented	P1	Fires about once a second per spawner and there are two spawners - keep it quiet or drop it in favour of the landing sound.
FALSE	Items	Item	item_landed	A thrown item hits the arena floor or a wall	First contact with the world layer	The clatter of the pile growing. This is the sound the arena floor makes all match and is the main texture of the item layer, so it should vary by item type - a sword clangs, meat slaps, a potion clinks.	Per-type impact: metal, flesh, glass, junk	4	FALSE		Existing: RigidBody2D physics settle	—		—	NEW: contact_monitor on Item	planned	P1	Item has no contact reporting today - contact_monitor and max_contacts_reported must be enabled, which is a per-body cost worth measuring against a pile of items.
FALSE	Items	Item	item_item_collision	Two items knock into each other in the pile	Item-on-item contact above a velocity threshold	Items jostling as the pile churns and as the player drags one through it. Very frequent and easy to turn into mush, so it needs a velocity gate and a hard limit on how many can sound at once.	Light clatter, quieter than a landing	3	FALSE		Existing: physics only	—		—	NEW: contact_monitor on Item	planned	P2	Needs both a velocity threshold and a voice cap or the pile becomes a wall of noise.
TRUE	Items	Item	item_grabbed	The player picks an item up with the mouse	Left mouse down over an item, including one sitting in a hotbar slot	The player takes hold of something. The item becomes light and follows the cursor on a spring. This is the most-repeated player action in the game and the confirmation that the click landed on the item they meant.	Quick pick-up scuff, varied per item type	4	FALSE		Existing: item switches to the light carried physics profile	Durability pie shows if the item is equipment		items/drag_controller.gd:_try_pick	Item.grabbed	implemented	P0	Also fires when lifting an item back out of a hotbar slot - the slot treats it as gone at that moment.
TRUE	Items	Item	item_dragged_loop	Sustained bed while an item is being carried	For as long as a drag is live	The item is dangling off the cursor and dragging through the pile on its way to the gladiator. A light continuous cue helps sell the weight of what is being carried.	Soft looping scrape or rustle, very low in the mix	1	TRUE	item_released	Existing: spring force pulls the item toward the cursor	—		items/drag_controller.gd:_physics_process	GlobalSignalBus.item_drag_started / item_drag_ended	implemented	P2	The dragged item can despawn out from under the drag - the loop must stop on that too, not just on release.
TRUE	Items	Item	item_released	The player lets go of a carried item	Left mouse up; covers drops that do nothing as well as ones that land somewhere	The player lets go. What happens next depends on where the cursor is - a hotbar slot, a gladiator, or nothing at all - so this is the neutral release and the follow-up rows carry the outcome.	Light release, deliberately neutral	2	FALSE		Existing: item returns to the heavy physics profile	Drop-zone outline clears		items/drag_controller.gd:_release	GlobalSignalBus.item_drag_ended(item)	implemented	P1	Also the stop cue for item_dragged_loop. Hotbar placement is checked before any gladiator - UI wins over world.
TRUE	Items	Hero Gladiator	item_hover_valid_target	A carried item is dragged over a gladiator that can use it	Unit alive and can_use_on true; equipment additionally needs an EquipmentComponent	The gladiator lights up under the dragged item - the game promising that releasing here will do something. This is the single most useful piece of feedback in the drag interaction and currently has no sound at all.	Soft rising hover tick; must not repeat while the hover is held	1	FALSE		Existing: outline shader on the unit's sprite (ItemDropZone.set_highlighted)	Unit is visibly outlined		items/drag_controller.gd:_set_hover_zone	GlobalSignalBus.item_hover_target_entered(item, unit)	implemented	P0	_set_hover_zone already early-returns when the zone has not changed, so a sound wired here fires once per hover rather than per frame.
TRUE	Items	Hero Gladiator	item_hover_lost	The drag leaves a highlighted gladiator	Hover zone changes to null or to a different unit	The promise is withdrawn - releasing here would now do nothing. Quieter than the enter cue; mostly it just needs to not be silent, so the player knows the state changed.	Soft falling counterpart to the hover tick	1	FALSE		Existing: outline cleared	Outline disappears		items/drag_controller.gd:_set_hover_zone	GlobalSignalBus.item_hover_target_lost(item)	implemented	P2	Also fires when the drag ends or the item despawns mid-drag.
TRUE	Items	Item	item_drop_ignored	An item is released somewhere that does nothing with it	No hotbar slot and no valid drop zone under either the cursor or the item	The player dropped an item on empty sand. Common and usually intentional - they are just clearing the pile - so this should be almost nothing, distinct from a genuine rejection.	Nothing beyond the physical landing	0	FALSE		Existing: the item just falls	—		items/drag_controller.gd:_try_drop_on_unit	GlobalSignalBus.item_drop_ignored(item)	implemented	P2	Distinct from equipment_reject_invalid_target, where the player aimed at a gladiator and was refused.
TRUE	Items	Hero Gladiator	item_consumed_meat	Meat is used on a gladiator	ItemDef.Type.MEAT with a HealEffect	The gladiator eats. The item is consumed and vanishes from the world, and the health bar jumps. Should sound like food, and should be immediately distinguishable from drinking a potion so the player can confirm they grabbed the right thing.	Tearing and chewing, wet and satisfying	2	FALSE		Wanted: green heal flash	Health bar rises; the item is gone from the pile		items/item.gd:use_on	GlobalSignalBus.item_consumed(item_def, unit)	implemented	P0	Reachable from both routes: dropped on a gladiator, or spent from a hotbar slot with a number key.
TRUE	Items	Hero Gladiator	item_consumed_potion	A potion is used on a gladiator	ItemDef.Type.POTION with a StaminaRestoreEffect	The gladiator drinks. Same consumption path as meat but the payoff is tempo rather than survival, so it must sound clearly different - glass and liquid against the meat's tearing.	Cork, glug, glass set-down	2	FALSE		Wanted: blue restore flash	Stamina bar rises; the item is gone from the pile		items/item.gd:use_on	GlobalSignalBus.item_consumed(item_def, unit)	implemented	P0	Same route as meat; the def's effect subclass is what differs.
TRUE	Items	Item	item_durability_shown	The durability pie appears over an item	The item is equipment and is hovered or dragged	The little red-and-green wear gauge pops up over a piece of gear as the cursor passes it. Pure information, and it appears constantly as the cursor sweeps the pile - almost certainly silent.	None recommended	0	FALSE		Existing: DurabilityPie becomes visible and redraws	The pie itself is the UI		items/item.gd:set_durability_shown	—	implemented	P2	Hidden by default so the pile is not a wall of gauges - see the DurabilityPie doc comment.
TRUE	Items	Item	item_despawn_warning	An item starts blinking near the end of its lifetime	Despawn timer fires; the blink runs out the last few seconds of lifetime	An item in the pile starts blinking: it has a few seconds left. Often the player is mid-reach for it. Should be a gentle nag, not an alarm - it fires constantly as the pile churns and must not become fatigue.	Very soft repeating tick, or nothing at all	1	FALSE		Existing: alpha blinks down to blink_min_alpha and back, blink_rate times a second	A blinking item is still grabbable - alpha stays above 0 on purpose		items/item.gd:_blink_then_despawn	—	implemented	P1	With two spawners running this can be true for several items at once - needs a voice cap if it gets a sound.
